No,Address,DeptNm,BranchNm,Contact,ContactNumber
38,新北市永和區中山路,新北市政府警察局,永和分局,李警員,(02)2925-5384
39,新北市新莊區福營路,新北市政府警察局,新莊分局,李警員,(02)2994-8519
40,新北市三重區三和路,新北市政府警察局,三重分局,郭警員,(02)8981-8904
41,新北市中和區景平路,新北市政府警察局,中和分局,謝警員,(02)2240-0174
42,新北市土城區明德路,新北市政府警察局,土城分局,謝警員,(02)2265-6186
43,新北市土城區裕民路,新北市政府警察局,土城分局,謝警員,(02)2265-6186
44,新北市中和區華新街,新北市政府警察局,中和分局,謝警員,(02)2240-0174
45,新北市新莊區中華路,新北市政府警察局,新莊分局,李警員,(02)2994-8519
46,新北市三重區自強路,新北市政府警察局,三重分局,郭警員,(02)8981-8904
47,新北市中和區建八路,新北市政府警察局,中和分局,謝警員,(02)2240-0174
48,新北市中和區立德街,新北市政府警察局,中和分局,謝警員,(02)2240-0174
49,新北市三重區五華街,新北市政府警察局,三重分局,郭警員,(02)8981-8904
50,新北市樹林區博愛街,新北市政府警察局,樹林分局,盧警員,(02)2686-1374
51,新北市中和區中和路,新北市政府警察局,中和分局,謝警員,(02)2240-0174
52,新北市中和區中安街,新北市政府警察局,中和分局,謝警員,(02)2240-0174
53,北區一中街周遭,臺中市政府警察局,第二分局,林警員,(04)22351035
54,南屯區向學路與大觀路附近,臺中市政府警察局,第四分局,黃警員,(04)2389-2013
55,北屯區大連路2段與熱河路2段附近,臺中市政府警察局,第五分局,陳巡佐,(04)2242-0023
56,北屯區經貿路與敦化路口,臺中市政府警察局,第五分局,陳巡佐,(04)2242-0023
57,太平區中興東路與永平路1段口,臺中市政府警察局,太平分局,張警員,(04)2393-8138
58,太平區祥順運動公園,臺中市政府警察局,太平分局,張警員,(04)2393-8138
59,臺南市麻豆區南勢里南勢1號至86之8號,臺南市政府警察局,麻豆分局,曾警員,(06)571-4037
60,臺南市關廟區旺萊路261巷與四維街368巷周邊,臺南市政府警察局,歸仁分局,葉警務員,(06)239-4182
61,臺南市歸仁區長榮路一段至長榮大學臺鐵沙崙線高架橋路段,臺南市政府警察局,歸仁分局,葉警務員,(06)239-4182
62,臺南市南化區北寮里北寮58之1號至60之5號路段,臺南市政府警察局,玉井分局,許警員,(06)574-6051
63,臺南市永康區正強街與中山南路口,臺南市政府警察局,永康分局,吳警員,(06)201-2461
64,臺南市東區崇善路1111號至崇善路底路段,臺南市政府警察局,第一分局,梁警員,(06)288-0413
65,臺南市中西區友愛街西門路口至友愛街永福路口,臺南市政府警察局,第二分局,黃警員,(06)213-4477
66,臺南市安南區長和路2段2號至140巷口,臺南市政府警察局,第三分局,柯警員,(06)247-7072
67,臺南市安平區安億路與慶平路口至安億路與育平八街口路段,臺南市政府警察局,第四分局,王警員,(06)295-7096
68,臺南市北區成功路2號至12號,臺南市政府警察局,第五分局,王警員,(06)259-8550
69,高雄市鼓山區凹子底公園,高雄市政府警察局,鼓山分局,張警員,(07)561-3700#135
70,高雄市鳳山區瑞中街、瑞智街週邊,高雄市政府警察局,鳳山分局,許警員,(07)747-6844
71,高雄市三民區建國三路,高雄市政府警察局,三民一分局,梁警員,(07)321-9439
72,高雄市三民區同盟二路,高雄市政府警察局,三民一分局,梁警員,(07)321-9439
73,高雄市大社區翠屏路段觀音山公園,高雄市政府警察局,仁武分局,許警員,(07)371-9480
74,高雄市小港區漢文街,高雄市政府警察局,小港分局,張警員,(07)801-9949
75,桃園市桃園區三民路二段一帶,桃園市政府警察局,桃園分局,洪巡官,(03)335-5334
76,桃園市桃園區中路北街一帶,桃園市政府警察局,桃園分局,洪巡官,(03)335-5334
77,桃園市中壢區文化二路一帶,桃園市政府警察局,中壢分局,童巡佐,(03)422-4918
78,桃園市中壢區莒光路一帶,桃園市政府警察局,中壢分局,童巡佐,(03)422-4918
79,基隆火車站周邊,基隆市警察局,第一分局,林警員,(02)2428-4590
80,基隆市信義區深溪路段,基隆市警察局,第二分局,林警員,(02)2425-2781
81,基隆市七堵區華新二路段,基隆市警察局,第三分局,陳巡佐,(02)2455-8847
82,基隆市中山區復興路段,基隆市警察局,第四分局,謝巡佐,(02)2432-6821
83,新竹市鐵道路與境福街口,新竹市警察局,第一分局,林警員,(03)526-1622
84,新竹市湳雅街48號,新竹市警察局,第一分局,林警員,(03)526-1622
85,新竹市富美路與公道五路口,新竹市警察局,第一分局,林警員,(03)526-1622
86,新竹市中正路360號前,新竹市警察局,第一分局,林警員,(03)526-1622
87,新竹市北區經國路一段442巷25號,新竹市警察局,第一分局,林警員,(03)526-1622
88,新竹市東區光復路二段,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
89,新竹市東區公園路,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
90,新竹市東區中華路二段100巷,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
91,新竹市東區關東路34巷,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
92,新竹市東區光復路二段3 28巷,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
93,新竹市東區大學路,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
94,新竹市東區金城一路金城二路口,新竹市警察局,第二分局,蔡巡佐,(03)572-8748
95,新竹市香山區頂埔路,新竹市警察局,第三分局,陳巡佐,(03)530-0494
96,新竹市東區振興路,新竹市警察局,第三分局,陳巡佐,(03)530-0494
97,新竹市香山區元培街,新竹市警察局,第三分局,陳巡佐,(03)530-0494
98,新竹市香山區西濱路三段,新竹市警察局,第三分局,陳巡佐,(03)530-0494
99,西區忠義街與北榮街口,嘉義市政府警察局,第一分局,賴警員,(05)234-8113
100,東區文化路與康樂街口,嘉義市政府警察局,第二分局,吳巡官,(05)222-4076
101,竹北市縣政九路與光明一路口周邊,新竹縣政府警察局,竹北分局,邱警員,(03)552-8663
102,竹北市東興路一段、嘉祥五街路口周邊,新竹縣政府警察局,竹北分局,邱警員,(03)552-8663
103,竹東河濱公園,新竹縣政府警察局,竹東分局,絲巡佐,(03)596-1930
104,湖口鄉中正路三段,新竹縣政府警察局,新湖分局,廖巡官,(03)590-4440
105,關西鎮公車站,新竹縣政府警察局,新埔分局,林警員,(03)587-2007
106,關西鎮中興路段,新竹縣政府警察局,新埔分局,林警員,(03)587-2007
107,苗栗市高苗里光復路天雲街路口,苗栗縣警察局,苗栗分局,南苗所,(037)320367
108,後龍鎮中山路與中正路口,苗栗縣警察局,竹南分局,後龍所,(037)722520
109,彰化縣彰化市泰和路一段,彰化縣警察局,彰化分局,黃家防官,(04)727-1141
110,彰化縣彰化市中正路二段,彰化縣警察局,彰化分局,林家防官,(04)727-1141
111,彰化縣員林市員林大道四段,彰化縣警察局,員林分局,李家防官,(04)834-1181
112,彰化縣大村鄉中正東路,彰化縣警察局,員林分局,李家防官,(04)834-1181
113,彰化縣永靖鄉中山路二段,彰化縣警察局,員林分局,李家防官,(04)834-1181
114,彰化縣鹿港鎮民權路,彰化縣警察局,鹿港分局,姚家防官,(04)775-1014
115,彰化縣鹿港鎮復興路,彰化縣警察局,鹿港分局,姚家防官,(04)775-1014
116,彰化縣鹿港鎮公正街,彰化縣警察局,鹿港分局,姚家防官,(04)775-1014
117,彰化縣鹿港鎮海浴路,彰化縣警察局,鹿港分局,姚家防官,(04)775-1014
118,彰化縣和美鎮西園路附近,彰化縣警察局,和美分局,黃家防官,(04)755-6399
119,彰化縣和美鎮道周路、愛國路附近,彰化縣警察局,和美分局,黃家防官,(04)755-6399
120,彰化縣伸港鄉建興路附近(近建興三街),彰化縣警察局,和美分局,黃家防官,(04)755-6399
121,彰化縣和美鎮德美路(近德美公園),彰化縣警察局,和美分局,黃家防官,(04)755-6399
122,彰化縣和美鎮彰草路、大佃路口,彰化縣警察局,和美分局,黃家防官,(04)755-6399
123,彰化縣北斗鎮斗苑路一段,彰化縣警察局,北斗分局,李家防官,(04)888-0157
124,彰化縣社頭鄉員集路一段,彰化縣警察局,田中分局,劉家防官,(04)875-6907
125,彰化縣田中鎮寶樹街,彰化縣警察局,田中分局,劉家防官,(04)875-6907
126,彰化縣芳苑鄉路上村小西路沿線,彰化縣警察局,芳苑分局,王家防官,(04)895-2619
127,彰化縣二林鎮斗苑路4段,彰化縣警察局,芳苑分局,王家防官,(04)895-2619
128,南投縣南投市大庄路沿線,南投縣政府警察局,南投分局,張巡官,(049)220-8149
129,南投縣南投市平山二路沿線,南投縣政府警察局,南投分局,張巡官,(049)220-8150
130,南投縣南投市同源路沿線,南投縣政府警察局,南投分局,張巡官,(049)220-8151
131,南投縣南投市成功三路沿線,南投縣政府警察局,南投分局,張巡官,(049)220-8152
132,南投縣南投市八卦路沿線,南投縣政府警察局,南投分局, ,(049)220-8153
133,南投縣草屯鎮碧山路與草溪路段,南投縣政府警察局,草屯分局,張巡官,(049)220-8154
134,南投縣埔里鎮中山路與虎山路段,南投縣政府警察局,埔里分局,張巡官,(049)220-8157
135,南投縣埔里鎮東華路與南昌街段,南投縣政府警察局,埔里分局,張巡官,(049)220-8158
136,南投縣魚池鄉伊達邵義勇街商圈沿線,南投縣政府警察局,集集分局,張巡官,(049)220-8157
137,南投縣魚池鄉台21甲線沿線,南投縣政府警察局,集集分局,張巡官,(049)220-8157
138,南投縣仁愛鄉新生村山林巷公共場所,南投縣政府警察局,仁愛分局,張巡官,(049)220-8157
139,雲林縣莿桐鄉埔子路段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
140,雲林縣斗六市西平路段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
141,雲林縣斗六市保長路段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
142,雲林縣斗六市雲林路二段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
143,雲林縣斗六市興農路段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
144,雲林縣斗六市大同路段,雲林縣警察局,斗六分局,吳警員,(05)533-3936
145,斗南鎮大明街沿線及周邊區域,雲林縣警察局,斗南分局,李警員,(05)596-2035
146,斗南鎮大同路沿線及周邊區域,雲林縣警察局,斗南分局,李警員,(05)596-2035
147,斗南鎮信義路自治橋沿線及周邊區域,雲林縣警察局,斗南分局,李警員,(05)596-2035
148,大埤鄉聯美村聯美大橋頭(怡美端)沿線及周邊區域,雲林縣警察局,斗南分局,李警員,(05)596-2035
149,斗南鎮小東里大業路152巷5弄28號旁產業道路周邊區域,雲林縣警察局,斗南分局,李警員,(05)596-2035
150,斗南鎮長安路一段,雲林縣警察局,斗南分局,李警員,(05)596-2035
151,雲林縣北港鎮民樂路段,雲林縣警察局,北港分局,?警員,(05)782-2240
152,雲林縣北港鎮華南路段,雲林縣警察局,北港分局,?警員,(05)782-2241
153,雲林縣北港鎮民政路段,雲林縣警察局,北港分局,?警員,(05)782-2242
154,雲林縣崙背鄉阿勸村鹽園產業道路,雲林縣警察局,西螺分局,廖警員,(05)588-2503
155,雲林縣虎尾鎮惠來路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
156,雲林縣元長鄉新生路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
157,雲林縣虎尾鎮工專路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
158,雲林縣虎尾鎮學府路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
159,雲林縣虎尾鎮清雲路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
160,雲林縣虎尾鎮德興路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
161,雲林縣虎尾鎮頂湳路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
162,雲林縣虎尾鎮中正路段,雲林縣警察局,虎尾分局,許警員,(05)633-9328
163,雲林縣四湖鄉三條崙海水浴場,雲林縣警察局,臺西分局,蔡巡佐,(05)698-2041
164,嘉義縣民雄鄉民族路郵局周遭,嘉義縣警察局,民雄分局,張警員,(05)226-1110
165,嘉義縣民雄鄉雙福村雙福鳳梨橋附近,嘉義縣警察局,民雄分局,張警員,(05)226-1110
166,嘉義縣新港鄉古民街(古民街8巷至古民街17巷段),嘉義縣警察局,民雄分局,張警員,(05)226-1110
167,嘉義縣民雄鄉正大路與新忠路口附近,嘉義縣警察局,民雄分局,張警員,(05)226-1110
168,嘉義縣民雄鄉雙福村森林公園周邊,嘉義縣警察局,民雄分局,張警員,(05)226-1110
169,嘉義縣溪口鄉中山路中興街附近,嘉義縣警察局,民雄分局,張警員,(05)226-1110
170,嘉義縣朴子市內厝里內厝路段,嘉義縣警察局,朴子分局,連警員,(05)379-3363
171,嘉義縣朴子市光復新路路段,嘉義縣警察局,朴子分局,連警員,(05)379-3363
172,嘉義縣朴子市南通路三段路段,嘉義縣警察局,朴子分局,連警員,(05)379-3363
173,嘉義縣水上鄉義興村通合橋下周邊,嘉義縣警察局,水上分局,涂警員,(05)268-8883
174,嘉義縣鹿草鄉鹿東村路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
175,嘉義縣水上鄉三界村嘉138路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
176,嘉義縣水上鄉外溪洲公園周邊,嘉義縣警察局,水上分局,涂警員,(05)268-8883
177,嘉義縣水上鄉水德路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
178,嘉義縣太保市仁愛路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
179,嘉義縣水上鄉粗溪村路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
180,嘉義縣太保市北新里路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
181,嘉義縣太保市安仁里嘉朴東路一段路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
182,嘉義縣太保市過溝里北港路二段路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
183,嘉義縣太保市後潭里嘉168線路段,嘉義縣警察局,水上分局,涂警員,(05)268-8883
184,嘉義縣中埔鄉台18線路段,嘉義縣警察局,中埔分局,潘警員,(05)253-4750
185,嘉義縣阿里山鄉中正村3鄰東阿里山路段,嘉義縣警察局,竹崎分局,翁警員,(05)261-5348
186,嘉義縣梅山鄉太和村4鄰大里網路段,嘉義縣警察局,竹崎分局,翁警員,(05)261-5348
187,嘉義縣竹崎鄉內埔村內埔段,嘉義縣警察局,竹崎分局,翁警員,(05)261-5348
188,屏東縣屏東市復興公園,屏東縣政府警察局,屏東分局,張警務員,(08)732-0412
189,屏東縣潮州火車站,屏東縣政府警察局,潮州分局,黃警員,(08)788-2020*1
190,宜蘭市環河路文昌抽水站周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
191,宜蘭市中山公園停車場周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
192,宜蘭市河濱公園周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
193,宜蘭市轉運站周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
194,宜蘭市文化中心周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
195,宜蘭市南館市場周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
196,宜蘭市神農路與農權路口周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
197,宜蘭運動公園周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
198,員山鄉員山公園周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
199,員山鄉溪洲路與石頭厝路周邊,宜蘭縣政府警察局,宜蘭分局,陳警員,(03)932-1706
200,羅東鎮運動公園及其週邊,宜蘭縣政府警察局,羅東分局,廖警員,(03)957-7523
201,羅東鎮中山公園及其週邊,宜蘭縣政府警察局,羅東分局,廖警員,(03)957-7524
202,五結鄉海濱路(路旁空地)及其週邊,宜蘭縣政府警察局,羅東分局,廖警員,(03)957-7525
203,羅東鎮民生市場公廁,宜蘭縣政府警察局,羅東分局,廖警員,(03)957-7526
204,壯圍鄉東港村?後海邊,宜蘭縣政府警察局,礁溪分局,鄭巡佐,(03)988-8129
205,礁溪鄉公園路70巷60號,宜蘭縣政府警察局,礁溪分局,鄭巡佐,(03)988-8129
206,頭城路纘祥路67號,宜蘭縣政府警察局,礁溪分局,鄭巡佐,(03)988-8129
207,礁溪轉運站,宜蘭縣政府警察局,礁溪分局,鄭巡佐,(03)988-8129
208,頭城鎮港口路87號之7,宜蘭縣政府警察局,礁溪分局,鄭巡佐,(03)988-8129
209,蘇澳鎮龍德工業區旁,宜蘭縣政府警察局,蘇澳分局,呂警員,(03)995-1351
210,蘇澳鎮龍德里福德西巷路段,宜蘭縣政府警察局,蘇澳分局,呂警員,(03)995-1351
211,蘇澳鎮蘇澳火車站旁,宜蘭縣政府警察局,蘇澳分局,呂警員,(03)995-1351
212,宜蘭縣大同鄉樂水村碼崙路,宜蘭縣政府警察局,三星分局,莊警員,(03)989-3243
213,宜蘭縣三星鄉大隱十五路,宜蘭縣政府警察局,三星分局,莊警員,(03)989-3243
214,宜蘭縣三星鄉健富路二段,宜蘭縣政府警察局,三星分局,莊警員,(03)989-3243
215,宜蘭縣三星鄉三星路二段,宜蘭縣政府警察局,三星分局,莊警員,(03)989-3243
216,宜蘭縣三星鄉三星路四段,宜蘭縣政府警察局,三星分局,莊警員,(03)989-3243
217,花蓮市國盛二街周遭,花蓮縣警察局,花蓮分局,林家防官,(03)836-0023
218,花蓮市東大門夜市周遭,花蓮縣警察局,花蓮分局,林家防官,(03)836-0023
219,花蓮市國聯五路沿線,花蓮縣警察局,花蓮分局,林家防官,(03)836-0023
220,花蓮縣壽豐鄉米棧大橋周遭,花蓮縣警察局,吉安分局,劉家防官,(03)851-4232
221,花蓮縣吉安鄉南濱路一段周遭,花蓮縣警察局,吉安分局,劉家防官,(03)851-4232
222,花蓮縣秀林鄉和平村周遭,花蓮縣警察局,新城分局,呂家防官,(03)861-1751
223,花蓮縣新城鄉北埔路周遭,花蓮縣警察局,新城分局,呂家防官,(03)861-1751
224,花蓮縣光復鄉農場路周遭,花蓮縣警察局,鳳林分局,呂家防官,(03)876-3564
225,花蓮縣玉里鎮鎮民廣場周遭,花蓮縣警察局,玉里分局,李家防官,(03)888-0083
226,臺東市中華路二段214巷附近,臺東縣警察局,臺東分局,游警員,(089)318-384
227,臺東市開封街、傳廣路口附近 ,臺東縣警察局,臺東分局,游警員,(089)318-384
228,四維路夜市,臺東縣警察局,臺東分局,游警員,(089)318-384
229,臺東市新生、南京路口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
230,臺東市中山、寶桑路口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
231,臺東市海濱公園內,臺東縣警察局,臺東分局,游警員,(089)318-384
232,臺東市新生路、光明路口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
233,臺東市更生北路181巷口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
234,臺東市新生路、南京路口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
235,臺東市中華路一段719巷201弄與鐵花路87巷口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
236,臺東市博愛路、四維路口附近,臺東縣警察局,臺東分局,游警員,(089)318-384
237,臺東縣海端鄉海端6鄰瀧下,臺東縣警察局,關山分局,王巡佐,(089)810-459
238,臺東縣關山鎮新福里新建自行車道,臺東縣警察局,關山分局,王巡佐,(089)810-459
239,臺東市鹿野鄉中華路二段,臺東縣警察局,關山分局,傅警員,(089)810-459
240,澎湖縣白沙鄉吉貝村沙尾水上活動區,澎湖縣政府警察局,白沙分局,辛警務佐,(06)993-2852
241,澎湖縣西嶼鄉合界村公車站旁空地(周邊),澎湖縣政府警察局,白沙分局,辛警務佐,(06)993-2852
242,澎湖縣馬公市西文里310號旁空地(周邊),澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
243,澎湖縣馬公市民族路、中興路區域(馬公市公車總站周邊),澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
244,澎湖縣馬公市民族路天后宮旁公廁,澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
245,澎湖縣湖西鄉城北村6-2號(大城北游泳館),澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
246,澎湖縣馬公市山水社區公園旁公共淋浴間,澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
247,澎湖縣馬公市同和路與北辰街口,澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
248,澎湖縣馬公市永福街(國際廣場)公廁,澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
249,澎湖縣湖西鄉隘門沙灘公共淋浴間,澎湖縣政府警察局,馬公分局,洪巡官,(06)927-1395
250,湖南高地至安岐路段,金門縣警察局,金城分局,王家防官,(082)320-477
251,七堵車站女廁,鐵路警察局,臺北分局,楊偵查佐,(02)2761-0250
252,南港車站B2女廁,鐵路警察局,臺北分局,楊偵查佐,(02)2761-0251
253,臺北車站1樓,鐵路警察局,臺北分局,楊偵查佐,(02)2761-0252
254,板橋車站B1、手扶梯及女廁,鐵路警察局,臺北分局,楊偵查佐,(02)2761-0253
255,桃園車站2樓、手扶梯及月台,鐵路警察局,臺北分局,楊偵查佐,(02)2761-0254
256,臺鐵新市車站第一月臺,鐵路警察局,高雄分局,郭偵查佐,(07)287-1560
257,臺北車站1樓,鐵路警察局,高雄分局,郭偵查佐,(07)287-1560
258,高鐵臺南站,鐵路警察局,高雄分局,郭偵查佐,(07)287-1560
259,臺鐵列車,鐵路警察局,花蓮分局,溫警員,(03)833-2310
260,車站電梯內,鐵路警察局,花蓮分局,溫警員,(03)833-2310
