ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,personality,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
11,男,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,11,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,316,231,38,249,358,30,10,30,1,0,50,3符合 agree,3符合 agree,3符合 agree,3符合 agree,146.4
12,女,2001,1. 水瓶座(1/20-2/18) Aquarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,索尼SONY,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,22,102,99,32,180,10,0,0,0,0,30,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,430.2
13,女,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,200,365,111,200,900,300,100,40,5,0,2,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,181.92
14,男,2001,1. 水瓶座(1/20-2/18) Aquarius,理學院College of Science,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,500,250,30,300,300,180,60,30,0,0,20,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,226.44
15,女,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,889,256,102,425,465,0,90,10,0,1,35,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,173.7
16,女,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,169,42,17,219,656,0,60,0,7,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,319.48
17,男,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,412,142,77,140,228,120,60,0,7,1,20,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,253.94
18,男,2001,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,索尼SONY,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,230,226,119,190,347,120,120,60,2,2,6,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,213.91
19,男,2002,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,小米MI,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,536,338,253,533,780,60,40,10,1,1,20,2不符合 disagree,3符合 agree,3符合 agree,3符合 agree,247.78
20,女,2002,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,304,203,67,1084,308,0,120,30,3,1,3,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,263.53
21,女,2002,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,100,180,20,350,380,10,240,0,5,2,50,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,356.59
22,男,2002,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,4662,3485,118,460,1640,300,40,0,6,2,10,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,173.3
23,女,2002,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,23,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,443,256,106,242,284,0,60,0,0,0,40,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,148.32
24,女,2002,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,361,152,83,171,174,200,100,30,5,2,30,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,255.85
25,女,2002,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,4. 內外雙極 In-outward polarized,FALSE,1. 從不參與  never involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,150,60,25,250,80,0,120,0,5,0,50,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,138.97
26,女,2002,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,約500,約250,約100,約500,約500,0,10,30,0,0,0,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,213.04
27,女,2002,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,27,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,50,50,50,50,50,300,300,0,21,21,99,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,198.58
28,女,2002,1. 水瓶座(1/20-2/18) Aquarius,科技學院College of Technology and Engineering,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,617,387,204,603,488,15,60,10,1,0,30,4非常符合 extremely agree,4非常符合 extremely agree,1極不符合 extremely disagree,1極不符合 extremely disagree,271.13
29,女,2003,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,小米MI,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,146,139,68,54,57,0,60,15,0,0,17,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,492.17
30,男,2003,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,1043,466,161,623,569,15,60,10,2,0,10,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,320.09
31,女,2003,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,1. 內向安靜 Introvert and gentle,31,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,100,50,10,50,100,10,200,3,1,0,30,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,3符合 agree,549.47
32,女,2003,1. 水瓶座(1/20-2/18) Aquarius,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,865,831,194,478,463,540,180,30,1,3,20,2不符合 disagree,3符合 agree,3符合 agree,3符合 agree,396.6
33,男,2003,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,33,200,100,440,339,0,75,30,2,0,30,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,163.35
34,女,2003,1. 水瓶座(1/20-2/18) Aquarius,教育學院College of Education,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,800多,500,83,400多,300多,0,30,30,23,34,20,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,213.79
35,女,2003,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,332,186,103,144,256,20,0,45,0,0,20,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,227.84
36,女,2003,1. 水瓶座(1/20-2/18) Aquarius,藝術學院College of Arts,1. 內向安靜 Introvert and gentle,36,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,歐寶OPPO,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,247,174,84,106,127,30,90,10,1,0,30,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,265.74
37,女,2003,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,3. 預付卡或臨時卡 Prepaid SIM card,276,149,52,218,337,30,180,10,5,0,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,198.46
38,女,2003,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,215,285,137,350,349,20,100,10,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,154.41
39,女,2003,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,215,247,153,475,471,180,100,5,0,1,10,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,239.4
40,女,2003,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,10,100,100,300,450,10,120,20,0,0,20,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,170.01
41,女,2003,1. 水瓶座(1/20-2/18) Aquarius,理學院College of Science,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,歐寶OPPO,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,500,40,20,300,300,180,60,10,1,0,5,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,1024.42
42,女,2003,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,769,377,255,560,792,0,20,10,0,0,18,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,166.61
43,男,2003,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,353,198,104,213,337,0,120,30,0,0,30,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,1極不符合 extremely disagree,277.5
44,男,2003,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,幾百,幾百,幾十,四百多,四百多,180,0,20,0,0,0,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,174.58
45,男,2003,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,619,200,54,174,145,20,10,30,0,0,20,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,362.81
46,女,2003,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,46,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,不知道,不知道,不知道,170,200多吧,300,60,0,0,0,0,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,2不符合 disagree,3072.12
47,男,2003,1. 水瓶座(1/20-2/18) Aquarius,其它,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,132,81,14,90,132,480,180,0,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,280.68
